"ACCOUNT_ID","LIST_ID","EVENT_CAPTURED_DT","EVENT_STORED_DT","CAMPAIGN_ID","LAUNCH_ID","EXTERNAL_CAMPAIGN_ID","SF_CAMPAIGN_ID","CAMPAIGN_NAME","LAUNCH_NAME","LAUNCH_STATUS","LAUNCH_TYPE","LAUNCH_CHARSET","PURPOSE","SUBJECT","DESCRIPTION","PRODUCT_CATEGORY","PRODUCT_TYPE","MARKETING_STRATEGY","MARKETING_PROGRAM","LAUNCH_ERROR_CODE","LAUNCH_STARTED_DT","LAUNCH_COMPLETED_DT","DISPATCHABLE_TYPE","PROGRAM_ID","BRAND_ID","CREATOR_NAME","FIRST_NAME","LAST_NAME","DMP01","DMP02BATCHTRIGGER","DMP03PUREBATCH","DMP04BLOCK","RAVISH"
"7668","193382501","27-Oct-2019 11:30:03","27-Oct-2019 11:30:18","193383121","30439961","","","P_AI_02_EMDEmail","","L","S","ISO-8859-1","P","QA1_ipush_{campaign.name}","","","","","","","","","PromotionalCampaign","","","ipush","","","","","","",""
"7668","193382501","27-Oct-2019 11:30:03","27-Oct-2019 11:30:18","193383121","30439961","","","P_AI_02_EMDEmail","","S","S","ISO-8859-1","P","QA1_ipush_{campaign.name}","","","","","","","","","PromotionalCampaign","","","ipush","","","","","","",""
"7668","193382501","27-Oct-2019 11:30:03","27-Oct-2019 11:30:18","193383121","30439961","","","P_AI_02_EMDEmail","","C","S","ISO-8859-1","P","QA1_ipush_{campaign.name}","","","","","","","","27-Oct-2019 11:30:03","PromotionalCampaign","","","ipush","","","","","","",""
"7668","4941","27-Oct-2019 09:23:40","27-Oct-2019 09:23:55","207061","30439901","","","Email Camp_4_SB List","","B","S","ISO-8859-1","P","EmailCamp4_Happy Bday SBlist","tes1","","","","","","27-Oct-2019 09:23:40","","PromotionalCampaign","163069101","","ipush","","","","","","",""
"7668","4941","27-Oct-2019 09:23:40","27-Oct-2019 09:23:55","207061","30439901","","","Email Camp_4_SB List","","L","S","ISO-8859-1","P","EmailCamp4_Happy Bday SBlist","tes1","","","","","","","","PromotionalCampaign","163069101","","ipush","","","","","","",""
"7668","4941","27-Oct-2019 09:23:40","27-Oct-2019 09:23:55","207061","30439901","","","Email Camp_4_SB List","","S","S","ISO-8859-1","P","EmailCamp4_Happy Bday SBlist","tes1","","","","","","","","PromotionalCampaign","163069101","","ipush","","","","","","",""
"7668","4941","27-Oct-2019 09:23:43","27-Oct-2019 09:23:57","207061","30439901","","","Email Camp_4_SB List","","C","S","ISO-8859-1","P","EmailCamp4_Happy Bday SBlist","tes1","","","","","","","27-Oct-2019 09:23:43","PromotionalCampaign","163069101","","ipush","","","","","","",""
"7668","4941","27-Oct-2019 09:23:43","27-Oct-2019 09:23:57","207061","232081","","","Email Camp_4_SB List","","C","X","ISO-8859-1","P","EmailCamp4_Happy Bday SBlist","tes1","","","","","","27-Oct-2019 09:23:43","27-Oct-2019 09:23:43","PromotionalCampaign","","","ipush","","","","","","",""
"7668","4941","27-Oct-2019 09:03:49","27-Oct-2019 09:04:04","5041","30439881","","","EmailCamp_1_SBList","","B","S","ISO-8859-1","P","EmailCamp1 ","tes1","","","","","","27-Oct-2019 09:03:49","","PromotionalCampaign","163069101","","ipush","","","","","","",""
"7668","4941","27-Oct-2019 09:03:50","27-Oct-2019 09:04:05","5041","30439881","","","EmailCamp_1_SBList","","L","S","ISO-8859-1","P","EmailCamp1 ","tes1","","","","","","","","PromotionalCampaign","163069101","","ipush","","","","","","",""
"7668","4941","27-Oct-2019 09:03:50","27-Oct-2019 09:04:05","5041","30439881","","","EmailCamp_1_SBList","","S","S","ISO-8859-1","P","EmailCamp1 ","tes1","","","","","","","","PromotionalCampaign","163069101","","ipush","","","","","","",""
"7668","4941","27-Oct-2019 09:03:52","27-Oct-2019 09:04:06","5041","30439881","","","EmailCamp_1_SBList","","C","S","ISO-8859-1","P","EmailCamp1 ","tes1","","","","","","","27-Oct-2019 09:03:52","PromotionalCampaign","163069101","","ipush","","","","","","",""
"7668","4941","27-Oct-2019 09:03:53","27-Oct-2019 09:04:06","5041","3401","","","EmailCamp_1_SBList","","C","X","ISO-8859-1","P","EmailCamp1","tes1","","","","","","27-Oct-2019 09:03:53","27-Oct-2019 09:03:53","PromotionalCampaign","","","ipush","","","","","","",""
